File,Character Distribution Distance,Pattern Distribution Distance,Pattern Length Distribution Distance,Pattern Recall,Pattern Precision,Pattern F1 Score
melody_no_aug_1.txt,0.2934,0.6828,0.1995,0.6323,0.9332,0.7539
melody_no_aug_2.txt,0.3110,0.7244,0.1997,0.6365,0.9389,0.7587
melody_no_aug_3.txt,0.2239,0.6353,0.2059,0.6300,0.9383,0.7539
melody_no_aug_4.txt,0.1274,0.8157,0.1921,0.8342,0.9089,0.8699
melody_no_aug_5.txt,0.1433,0.8307,0.1876,0.8376,0.9100,0.8723
melody_no_aug_6.txt,0.1155,0.9377,0.2571,0.8471,0.9028,0.8741
melody_multiplied_1.txt,0.2673,0.7648,0.5598,0.5510,0.9477,0.6968
melody_multiplied_2.txt,0.4098,0.7984,0.6110,0.5312,0.9376,0.6782
melody_multiplied_3.txt,0.2922,0.7730,0.5352,0.5502,0.9520,0.6973
melody_multiplied_4.txt,0.3500,0.9770,0.8458,0.5589,0.9339,0.6993
melody_multiplied_5.txt,0.3754,0.9516,0.8408,0.5487,0.9413,0.6933
melody_multiplied_6.txt,0.4064,1.0700,1.1998,0.3882,0.9307,0.5479
melody_fine_tune_1.txt,0.2968,0.7074,0.2118,0.6886,0.9350,0.7931
melody_fine_tune_2.txt,0.3945,0.8423,0.1888,0.7042,0.9214,0.7983
melody_fine_tune_3.txt,0.2611,0.7006,0.2053,0.7042,0.9307,0.8017
melody_fine_tune_4.txt,0.1528,0.7406,0.2167,0.8000,0.9168,0.8544
melody_fine_tune_5.txt,0.2098,0.7086,0.1506,0.7741,0.9267,0.8436
melody_fine_tune_6.txt,0.1312,0.8415,0.2120,0.8316,0.9109,0.8694
